Author,Title,Year,Type of publication,Type of publication venue,Study design,Methodology,Learning_context,Region,Age,L1,L2,Educational_level,L2_proficiency,L2_proficiency_justification,L2_learning_experience,Sampling,VR_setting,HMD_type,VR_content_type,VR_software,VR_learning_activities,VR_treatment_length_total_min,Number_of_VR_sessions,Length_of_each_VR_session_min,VR_treatment_provider,Control_treatment,Linguistic_outcome,Socio-emotional outcome,VR_Mean_Pre,VR_SD_Pre,VR_Mean_Post,VR_SD_Post,VR_N,C_Mean_Pre,C_SD_Pre,C_Mean_Post,C_SD_Post,C_N,Hedge's_ g (combined),Variance,ES_reported,ES_type,ES_value
"Hung, Chen et al. ",Virtual reality is not always a cure-all: evidences from a quasiexperiment of EFL business speaking courses,2023,Journal,Interactive Learning Environments,Between-group,Mixed,Foreign language,Taiwan,19.5,Chinese,English,University,Not reported,Not reported,Not reported,Not reported,Classroom,Smartphone-based,360° images and computer-generated ,Custom-made VR,Self-directed,Not reported,2,Not reported,Researcher,Multimedia,Speaking,Affect,NA,NA,,,25,NA,NA,,,15,-0.227,0.030385,,,
"Hung, Lin et al.",Effects of AR- and VR-based wearables in teaching English: The application of an ARCS model-based learning design to improve elementary school students' learning motivation,2023,Journal,Journal of Computer Assisted Learning,Between-group,Mixed,Foreign language,Taiwan,10.78,Not reported,English,Elementary school,Not reported,Not reported,Not reported,Convenience,Classroom,Not reported,360° images and computer-generated,VR adapted for LL,Self-directed,40,1,40,Not reported,Traditional,Vocabulary,Motivation,,,,,35,,,,,39,-0.07125,0.023233205,,,
Johnson et al.,Assessing the impact of game modalities in second language acquisition: ELLE the EndLess Learner,2020,Journal,Journal of Universal Computer Science,Between-group,Quantitative,Foreign language,USA,Not reported/Range,Not reported,Portuguese,University,Not reported,Not reported,Not reported,Not reported,Not reported,PC-powered,Computer-generated,Custom-made VR,Self-directed,20,1,20,Not reported,Multimedia,Vocabulary,Sense of presence,NA,NA,3.72,0.47,19,NA,NA,3.368,0.851,18,,,0,NA,NA
Johnson et al.,Assessing the impact of game modalities in second language acquisition: ELLE the EndLess Learner,2020,Journal,Journal of Universal Computer Science,Between-group,Quantitative,Foreign language,USA,Not reported/Range,Not reported,Portuguese,University,Not reported,Not reported,Not reported,Not reported,Not reported,PC-powered,Computer-generated,Custom-made VR,Self-directed,20,1,20,Not reported,Multimedia,Vocabulary,Enjoyment,NA,NA,4.15,0.66,19,NA,NA,3.625,1.118,18,,,0,NA,NA
Kaplan-Rakowski & Gruber ,"An experimental study on reading in
high-immersion virtual reality",2023,Journal,The British Journal of Educational Technology,Between-group,Quantitative,Foreign language,Germany,23,Not reported,English,University,Intermediate,Mixed,Not reported,Convenience,Not reported,Standalone,Computer-generated,VR adapted for LL,Self-directed,20,1,20,Researcher,Multimedia,Reading,Motivation,NA,NA,4.5,0.59,35,NA,NA,3.12,0.79,44,,,1,1,1.94
Kaplan-Rakowski & Gruber ,"An experimental study on reading in
high-immersion virtual reality",2023,Journal,The British Journal of Educational Technology,Between-group,Quantitative,Foreign language,Germany,23,Not reported,English,University,Intermediate,Mixed,Not reported,Convenience,Not reported,Standalone,Computer-generated,VR adapted for LL,Self-directed,20,1,20,Researcher,Multimedia,Reading,Sense of presence,NA,NA,3.39,0.77,35,NA,NA,2.2,0.59,44,,,1,1,1.76
Kaplan-Rakowski & Gruber ,The impact of high‑immersion virtual reality on foreign language anxiety,2023,Journal,Smart Learning Environments,Between-group,Quantitative,Foreign language,Germany,21.12,"German, French, Korean",English,University,Intermediate,Not reported,10 years on average,Random,Lab,Standalone,Computer-generated,Custom-made VR,Self-directed,16,4,4,Researcher,Multimedia,Not reported,Anxiety,NA,NA,-1.89,7.23,12,NA,NA,-0.08,5.14,8,,,0,NA,NA
Li et al.  ,An Experiential Learning-Based Virtual Reality Approach to Foster Students’ Vocabulary Acquisition and Learning Engagement in English for Geography,2022,Journal,Sustainability,Between-group,Quantitative,Foreign language,China,Not reported/Range,Chinese,English,University,Not reported,Not reported,Not reported,Not reported,Not reported,PC-powered,Computer-generated,VR adapted for LL,Cooperative,60,1,60,Teacher,Multimedia,Mixed,Engagement,,,,,18,,,,,18,0.562,0.052,,,
Nicolaidou et al.,Comparing immersive Virtual Reality to mobile applications in foreign language learning in higher education: a quasi-experiment,2023,Journal,Interactive Learning Environments,Between-group,Quantitative,Foreign language,Not reported,19.6,Greek,Italian,University,Beginner,Mixed,One semester or less,Convenience,Not reported,PC-powered,Computer-generated,Off-the-shelf VR,Self-directed,20,1,20,Not reported,Multimedia,Vocabulary,Engagement,NA,NA,5.96,0.79,20,NA,NA,6.32,0.49,20,,,0,NA,NA
Nicolaidou et al. ,Comparing immersive Virtual Reality to mobile applications in foreign language learning in higher education: a quasi-experiment,2023,Journal,Interactive Learning Environments,Between-group,Quantitative,Foreign language,Not reported,19.6,Greek,Italian,University,Beginner,Mixed,One semester or less,Convenience,Not reported,PC-powered,Computer-generated,Off-the-shelf VR,Self-directed,20,1,20,Not reported,Multimedia,Vocabulary,Sense of presence,NA,NA,4.88,1.13,20,NA,NA,4.64,1.05,20,,,0,NA,NA
